zeit,temp_wasser,temp_wuerfel
0.3,58.94,28.5
0.9,58.88,28.25
1.5,58.94,28.5
2.1,58.94,27.5
2.7,58.94,28.0
3.3,58.94,28.25
3.9,58.94,28.0
4.5,58.94,27.5
5.1,58.94,28.25
5.8,58.94,28.0
6.3,58.94,28.25
7.0,58.94,28.0
7.6,58.94,27.75
8.2,58.94,28.25
8.8,58.94,28.25
9.4,58.94,28.25
10.0,58.94,28.0
10.6,58.94,27.75
11.2,58.94,28.0
11.8,58.94,28.25
12.4,58.94,28.5
13.0,58.94,27.75
13.6,58.88,28.0
14.2,58.94,28.0
14.8,58.94,28.0
15.4,58.94,28.0
16.0,58.94,27.75
16.6,58.94,28.5
17.2,58.94,27.75
17.8,58.88,28.0
18.4,58.88,28.0
19.0,58.94,27.75
19.6,58.88,27.75
20.2,58.88,27.25
20.8,58.88,28.0
21.4,58.88,27.75
22.0,58.88,28.25
22.6,58.88,27.75
23.2,58.88,27.75
23.8,58.88,28.0
24.4,58.88,28.0
25.0,58.88,28.0
25.6,58.88,27.75
26.2,58.81,27.75
26.8,58.88,27.75
27.4,58.88,28.0
28.0,58.81,28.0
28.6,58.81,28.5
29.2,58.81,28.0
29.8,58.81,27.75
30.4,58.81,28.0
31.0,58.88,28.0
31.6,58.81,28.0
32.2,58.81,28.0
32.8,58.81,28.0
33.4,58.81,27.75
34.0,58.81,28.0
34.6,58.81,28.0
35.2,58.81,27.75
35.8,58.81,27.75
36.4,58.81,28.25
37.0,58.81,28.0
37.6,58.81,28.0
38.2,58.81,28.0
38.8,58.81,28.25
39.5,58.81,27.75
40.0,58.81,28.0
40.6,58.81,28.0
41.2,58.81,28.0
41.9,58.81,28.0
42.4,58.81,28.0
43.1,58.81,28.0
43.7,58.81,28.0
44.2,58.81,28.25
44.9,58.81,28.25
45.5,58.81,27.75
46.1,58.81,28.25
46.7,58.81,27.5
47.3,58.75,28.0
47.9,58.81,28.0
48.5,58.75,28.0
49.1,58.81,27.5
