zeit,temp_wasser,temp_wuerfel
0.6,61.44,28.75
1.2,61.38,28.5
1.8,61.38,28.5
2.4,61.38,29.0
3.0,61.38,28.25
3.6,61.38,29.0
4.2,61.38,28.5
4.8,61.38,28.25
5.4,61.38,28.5
6.0,61.38,28.5
6.6,61.38,28.5
7.2,61.38,28.75
7.8,61.38,28.75
8.4,61.38,28.75
9.0,61.25,28.75
9.6,61.19,28.75
10.2,61.13,28.75
10.8,61.0,28.75
11.4,60.94,28.75
12.0,60.94,29.0
12.6,60.88,29.0
13.2,60.81,29.0
13.8,60.75,29.0
14.4,60.75,28.75
15.0,60.69,29.25
15.6,60.69,29.25
16.2,60.63,29.75
16.8,60.63,29.25
17.5,60.56,29.5
18.0,60.56,29.5
18.6,60.56,30.0
19.3,60.5,30.75
19.8,60.5,30.5
20.5,60.5,30.5
21.1,60.5,30.75
21.7,60.5,30.75
22.3,60.5,31.25
22.9,60.5,31.5
23.5,60.5,31.25
24.1,60.44,31.5
24.7,60.44,32.0
25.3,60.44,32.25
25.9,60.44,33.0
26.5,60.44,33.0
27.1,60.38,33.0
27.7,60.38,34.0
28.3,60.38,34.0
28.9,60.31,34.5
29.5,60.25,34.25
30.1,60.25,34.75
30.7,60.25,35.5
31.3,60.19,35.25
31.9,60.19,35.25
32.5,60.19,35.75
33.1,60.19,36.0
33.7,60.13,36.5
34.3,60.13,37.0
34.9,60.13,37.0
35.5,60.06,37.5
36.1,60.06,37.75
36.7,60.06,38.0
37.3,60.0,38.25
37.9,60.0,38.5
38.5,60.0,38.75
39.1,60.0,38.75
39.7,59.94,39.5
40.3,59.94,39.5
40.9,59.88,40.0
41.5,59.88,40.5
42.1,59.81,40.75
42.7,59.81,40.25
43.3,59.75,40.25
43.9,59.75,41.25
44.5,59.69,41.5
45.1,59.69,41.75
45.7,59.69,41.75
46.3,59.63,41.75
47.0,59.63,42.5
47.5,59.63,42.25
48.2,59.56,43.0
48.7,59.56,43.0
49.4,59.5,43.25
50.0,59.56,43.5
50.6,59.5,44.0
51.2,59.5,43.5
51.8,59.44,44.75
